ID;FR;EN;ZH
CombatStartUniversel;Lancer le combat;Start the fight;开始战斗
TutoContinue;Continuer;Continue;继续
TutoAutel1;les trois sorts de base, on débloquera d'autres par la suite achetables contre de l'essence;the three basic spells, we’ll unlock others later purchasable with souls crystal;三个基本咒语，其他咒语将在以后解锁，可用灵魂水晶购买
TutoAutel2;le nombre d'essence qu'on as actuellement sur sois, récupérable en tuant des adversaires;the number of souls crytals you currently have on you, recoverable by killing opponents;当前身上的灵魂水晶数量，可通过击杀对手恢复
TutoAutel3;la description de la compétence sélectionné;the description of the selected skill;所选技能的描述
TutoAutel4;les stats actuelle, et les modifications apportées par la compétence;current stats, and changes made by the skill;当前状态，以及技能带来的变化
TutoAutel5;le cout en essence d'une compétence pour la debloquer;the cost of a skill to unlock it;解锁技能所需的费用
TutoAutel6;le bouton d'achat;the buy button;购买按钮
TutoPerso1;Observateur;Watcher;
TutoPerso2;Premier observateur;First watcher;
TutoPerso3;Second observateur;Second watcher;
TutoPerso4;Cristaux d'essence;Soul shards;
TutoQ1;En voilà encore un! Décidément, c’est une journée chargée. J’espère que celui-ci ne posera pas problème…;Here comes another one ! Look like it will be a long day... I hope that one will not be a problem...;又来了一个 看来今天会很漫长... 我希望这个不会有问题...
TutoQ1R1;[ reprendre vos esprits ];[Come back to your sense];[回过神来]
TutoQ2;Tu m’as l’air d’être dans un piteux état, ta mort semble avoir été violente, laisse moi arranger ça.;You seems to be in a deplorable state, your death must have been violent, let me help you;你的情况很糟糕 你一定是死于暴力，让我来帮你吧
TutoQ2R1;Mort!? On est où!? Et t’es qui au juste!?;Death ?! Where are we ?! And who are you !;死亡 我们在哪儿 你又是谁
TutoQ3;Morts, nous le sommes tous. Et pour te répondre: je suis l’observateur qui t’a été attribué.;Dead, we are all here, so are you, and to answer your question, i am the observer that has been atributed to you;死神，我们都在这里，你也在这里，回答你的问题，我就是你的观察者
TutoQ3R1;Donc je suis mort, toi aussi, et tu es là pour me chaperonner, c’est ça?;So...I am dead, you too, and you are here to chaperone me, is that right ?;所以......我死了，你也死了，你是来陪我的，对吗？
TutoQ4;"Pas vraiment. Je suis là pour suivre ton parcours mais je dois rester neutre, c’est mon rôle.
";Not really, i am here to follow your journey, but i must stay neutral, that is my role;不尽然，我是来追随你的旅程的，但我必须保持中立，这是我的职责所在
TutoQ4R1;Neutre? Tu viens de dire que tu allais m’aider, ça ne fait aucun sens!;Neutral ? But you said you where gonne help me ? That doesnt make any sense !;中立？可你说你会帮我？这说不通啊！
TutoQ5;Je vais arranger ça, pas t’aider. C’est d’ailleurs la première et dernière fois, ensuite tu devras t’en sortir seul.;I will arrange that, not help you. It will be the first and last time, then you will be on your own,;我会 安排，而不是帮你。这将是第一次，也是最后一次，然后你就得靠自己了、
TutoQ5R1;"Mais m’arranger quoi à la fin!?
";But arrange what ?!;安排什么
TutoQ6;Cette lumière intérieure, cette Radiance, est la seule chose qui te permet de prendre forme ici. Comment te sens tu à présent?;That light into you, it's your radiance, it's the only thing that allow you to have a substance here, how are you feeling now ?;你身上的光是你的光芒 是你在这里唯一的物质 你现在感觉怎么样？
TutoQ6R1;Mieux… enfin je crois.;Better...I think.;好多了......我想。
TutoQ7;Tu dois y faire attention, sinon ton âme retournera dans le grand cycle et qui sait combien de temps tu y resteras.;You will have to take care of it, or your soul will return to the great cycle, and who knows how many time you will stay there.;你得好好照顾它 否则你的灵魂会回到大轮回 谁知道你会在那里呆上多少时间呢
TutoQ7R1;"Pour rester mort, je ne dois pas mourir à nouveau. C’est bien joli mais dans quel but exactement?
";To stay dead, i must not die again...It's cute but what is the goal of that ?;为了不死，我就不能再死......这很可爱，但这样做的目的是什么？
TutoQ8;"Ce but, à toi de le trouver; chacun doit traverser le Passage à sa manière. Si je ne peux te guider, je peux cependant te montrer. Prends ça et suis moi.
";That goal, it's you who must find it, each person must cross the path with he's own way. If i can't guide you, i can however show you. Take that and follow me;这个目标必须由你自己去寻找，每个人都必须以自己的方式穿过这条路。如果我不能指引你，但我可以告诉你。带着它跟我来吧
TutoQ8R1;"Si je suis mort, à quoi pourrait bien me servir un vieux parchemin?
";If i am dead, what use do I have in an old parchment ?;如果我死了，一张旧羊皮纸还有什么用？
TutoQ9;Ce vieux parchemin te permettra de ne pas te perdre sur le chemin de ta prochaine vie. Avance jusqu’à la prochaine étape, je dois encore te montrer certaines choses.;That old parchment will allow you to not be lost on the way to your next life. Move to the next stage, I must still show you a few things.;那张 旧羊皮纸 会让你在通往下辈子的路上不再迷失方向。进入下一阶段，我还必须告诉你一些事情。
TutoQ10;En ce lieu, tu rencontreras d’autres âmes errantes. Si je te recommande de trouver des solutions pacifiques, tu peux également confronter ta Force d'ame à la leur.;In this place, you will meet other wandering souls. I recommend you to find pacific solution with them, but you can also confront your soul strengh with them;在这个地方，你会遇到其他的游魂。我建议你与他们和平相处，但你也可以与他们对抗你的 毅力/灵魂力量。
TutoQ10R1;"Confronter nos âmes ? Si tu parles d’un combat, qu’adviendrait-il du perdant ?
";Confront our souls ? If you talk about a fight, what happend to the looser ?;对抗我们的灵魂？如果你说的是一场战斗，那么失败者会怎样？
TutoQ11;Exactement comme un combat, oui. Souhaites-tu voir ce qui arriverait à cette âme errante en cas de défaite ?;Just like a fight yes, do you wish to see what will happend to this soul if it where defeated ?;就像打架一样，是的，你想看看如果这个灵魂被打败了会怎么样吗？
TutoQ11R1;"Si je t’ai posé la question, ce n’est pas pour rien. Vas y, montre moi !
";If i asked you, it's for a reason, come on show me !;如果我问你，那是有原因的，来吧，给我看看！
TutoQ11R2;"Euh, attends, explique moi d’abord ce que tu comptes faire.
";Wait...Explain to me first what you are going to do;等等......先给我解释一下你要做什么？
TutoQ12;La patience ne semble pas être ta plus grande qualité… Ici comme dans tes précédentes vies, tes choix ont des conséquences, tu devrais faire attention.;Patience does not seems to be one of your qualities...Here like in your past lifes, your choices have consequences, you will have to take care.;耐心似乎不是你的特质之一......在这里，就像你过去的生活一样，你的选择会带来后果，你必须小心。
TutoQ12R1;Des conséquences ?;Consequences ? Like what ?;后果？什么后果？
TutoQ13;"Rester dans ce lieu doit te permettre de devenir meilleur, tu dois faire attention et prendre Conscience des conséquences de tes actes passés comme futures.
";Staying in this place allow you to grow better, you must take care and realise the consequences of your past action, just like the future one.;呆在这个地方能让你更好地成长，你必须小心谨慎，并意识到你过去的行为所带来的后果，就像你将来的行为一样。
TutoQ13R1;"Pas la peine de me sermonner, j’assume pleinement mes actes et mes paroles.
";No need to lecture me, I stand by every act and word of mine.;没必要对我说教，我坚持我的一言一行。
TutoQ14;"Alors tu assumeras également leurs conséquences sur ce qu’il reste de ton âme.
";So you will also shoulder the consequences on what is left of your soul;所以，你也要承担你的灵魂所剩无几的后果。
TutoQ14R1;"Mes actes seront donc observés et jugés ?
";My actions will be judged and observed ?;我的行为会受到审判和监督？
TutoQ15;Tu fais preuve de discernement, c’est tout à ton honneur. Les choix que nous faisons ont toujours des conséquences, cette vérité semble évidente pour toi.;You seems to have some discernment, it's will be useful here. The choice that we make always have consequences, this truth seems obvious enough for you.;你似乎有一些辨别力，这在这里会很有用。我们所做的选择总是有后果的，这个道理对你来说似乎很明显。
TutoQ15R1;"Tu sembles surpris. Pourtant ça ne me semble pas si compliqué.
";You seems surprised. It's not a concept so hard to grasp.;你似乎很惊讶。这并不是一个很难理解的概念。
TutoQ16;Très peu d’âmes réussissent à prendre si rapidement Conscience des implications qu’ont leurs actes en ces lieux, c’est assez rare pour être souligné.;Very few souls become conscious  of the consequences of the actions they do in this place so quickly, it's rare enough to be noted;很少有灵魂能这么快就意识到他们在这里所做行为的后果，这一点非常罕见，值得注意。
TutoQ16R1;"Tu es donc là pour me guider et veiller à ce que j’agisse avec clairvoyance ?
";So you are here to guide me, and be sure I act with perspicacity ?;那么你是来指导我，确保我的行为是明智的？
